Subject,Run,ConditionName,MEDIAN_RT_LARGER,MEDIAN_RT_SMALLER,PROP_LARGER,PROP_NLR,PROP_SMALLER
0,0,PUNISH,577.0,348.0,0.6875,0.0,0.3125
0,0,REWARD,602.0,575.0,0.5625,0.0,0.4375
0,1,PUNISH,726.5,807.5,0.5,0.0,0.5
0,1,REWARD,638.0,640.5,0.5,0.0,0.5
1,0,PUNISH,217.0,232.0,0.3125,0.0,0.6875
1,0,REWARD,259.0,262.0,0.6875,0.0,0.3125
1,1,PUNISH,226.0,215.0,0.6875,0.0,0.3125
1,1,REWARD,246.0,314.5,0.33333333333299997,0.0,0.666666666667
2,0,PUNISH,392.0,475.0,0.5625,0.0,0.4375
2,0,REWARD,413.0,395.0,0.4375,0.0,0.5625
2,1,PUNISH,541.0,393.5,0.5,0.0,0.5
2,1,REWARD,443.5,540.0,0.5,0.0,0.5
3,0,PUNISH,490.0,398.0,0.5625,0.0,0.4375
3,0,REWARD,409.0,410.0,0.625,0.0,0.375
3,1,PUNISH,503.0,417.0,0.5625,0.0,0.4375
3,1,REWARD,481.0,419.0,0.5625,0.0,0.4375
4,0,PUNISH,263.5,357.5,0.5,0.0,0.5
4,0,REWARD,307.0,342.0,0.5625,0.0,0.4375
4,1,PUNISH,385.0,319.0,0.533333333333,0.0,0.46666666666699996
4,1,REWARD,401.5,340.0,0.533333333333,0.0,0.46666666666699996
5,0,PUNISH,376.0,419.0,0.5625,0.0,0.4375
5,0,REWARD,357.0,373.0,0.5625,0.0,0.4375
5,1,PUNISH,457.0,505.5,0.25,0.0,0.75
5,1,REWARD,320.0,368.0,0.5625,0.0,0.4375
6,0,PUNISH,450.5,424.5,0.375,0.0,0.625
6,0,REWARD,639.0,482.0,0.3125,0.0,0.6875
6,1,PUNISH,625.0,560.0,0.4375,0.0,0.5625
6,1,REWARD,571.0,522.0,0.5625,0.0,0.4375
7,0,PUNISH,294.0,331.0,0.3125,0.0,0.6875
7,0,REWARD,288.0,354.0,0.4375,0.0,0.5625
7,1,PUNISH,444.0,337.0,0.4375,0.0,0.5625
7,1,REWARD,308.0,323.0,0.4375,0.0,0.5625
8,0,PUNISH,323.0,293.0,0.5625,0.0,0.4375
